index_df	Restaurant_id	Price Range	Cuisine Style
1	3	$$ - $$$	['Asian, Nepali']
3	7	None	None
5	10	$$ - $$$	['Bar, Portuguese, Wine Bar']
7	21	None	['Italian']
8	26	None	['Cafe, European']
10	28	$	['Spanish, Mediterranean']
16	44	None	None
21	52	None	None
26	65	$$ - $$$	['Spanish, Wine Bar']
27	68	None	None
28	73	None	None
29	75	$	['Bar, Spanish, Pub, Mediterranean']
30	81	$$ - $$$	['American, Diner, European']
32	89	None	None
33	90	None	['Vietnamese']
39	107	$$ - $$$	['Italian, Bar']
44	121	$$ - $$$	['Japanese, Sushi, Asian']
45	127	None	['Bar, European, British, Pub, Diner, Gastropub']
46	129	$$ - $$$	['Italian, Mediterranean']
50	147	$	['Chinese, Fast Food, Asian, Sushi']
51	152	$	['Lunch, Dinner']
52	154	$	['Asian, Vietnamese']
57	164	None	None
59	169	None	None
60	174	$	['Deli']
61	176	None	None
65	184	$	['European, Hungarian']
68	187	$$ - $$$	['Vegetarian Friendly, Vegan Options, Gluten Free Options']
73	202	None	None
75	209	None	None
81	225	None	['Japanese, Sushi, Asian']
86	241	$	['Dutch, Cafe, European']
89	249	$$$$	['French, European']
90	254	$	['French']
96	275	$	['Fast Food']
100	283	None	['Italian']
102	297	$$$$	['French, European, Hungarian']
104	304	None	['European, Portuguese']
106	306	None	None
107	315	None	None
111	326	None	['Italian']
115	348	$$ - $$$	['Eastern European']
118	367	None	None
119	369	$$ - $$$	['Lunch, Dinner']
121	375	$	['Italian']
127	397	$	['French']
129	403	$$ - $$$	['Vegetarian Friendly']
133	417	None	['Greek']
142	442	$	['Dinner']
144	448	$	['Lunch, Brunch, Drinks']
147	458	None	['Spanish']
152	469	None	None
154	472	$	['Cafe']
155	473	$	['Asian, Korean']
156	475	None	['Indian']
160	481	$$ - $$$	['Asian, Chinese, International, Fusion, Japanese Fusion']
161	486	None	None
164	494	None	None
167	499	$$ - $$$	['Japanese, Asian']
169	505	$	['French, Bar, Cafe, Grill, Pub']
174	525	None	None
176	529	None	None
180	539	None	None
181	540	$	['Portuguese, European']
183	548	None	None
184	553	$	['Indian']
185	557	$$ - $$$	['Takeout, Reservations, Seating, Wheelchair Accessible, Free Wifi, Table Service']
186	559	None	None
187	561	None	None
189	576	None	['European, Portuguese']
192	594	$$ - $$$	['Late Night, Drinks']
195	602	$	['Pizza, Fast Food, Greek, Street Food']
199	611	None	None
202	616	None	None
208	636	$	['Fast Food']
209	638	$	['Pizza, Italian']
216	662	None	None
218	669	$$ - $$$	['Japanese, Sushi, Asian']
220	675	None	None
221	676	None	None
222	678	$	['Portuguese, Cafe, European']
225	692	$$ - $$$	['Italian, Mediterranean']
226	698	$$ - $$$	['Italian']
228	705	None	None
230	710	$	['Italian, Pizza']
235	728	None	None
241	737	None	None
246	755	None	['Asian']
247	757	None	['European, Portuguese']
249	761	$$ - $$$	['Reservations, Seating, Table Service']
254	771	$$ - $$$	['Mediterranean, Greek, Steakhouse']
255	775	$	['Breakfast']
259	786	$$ - $$$	['French']
262	792	$	['Fast Food']
265	796	$	['Italian, Pizza']
269	807	None	None
275	832	None	None
277	835	None	None
278	837	$	['Mediterranean, Spanish']
281	851	$$ - $$$	['Dinner']
283	853	$$ - $$$	['Barbecue, British']
288	873	None	None
297	906	None	['French']
302	917	None	['French']
304	926	$$ - $$$	['Portuguese']
305	927	$$ - $$$	['Russian']
306	929	None	None
315	958	None	['Turkish']
320	973	None	None
322	981	$$ - $$$	['Gluten Free Options']
325	992	$$ - $$$	['Italian, International']
326	993	None	None
336	1033	None	None
342	1052	None	['Seafood, Healthy']
343	1054	None	['Italian']
348	1074	$$ - $$$	['Cafe']
358	1106	None	['Spanish']
360	1113	None	None
367	1131	$$ - $$$	['Spanish']
369	1139	None	['Bar, Pub']
372	1147	None	None
375	1153	$$ - $$$	['Italian, Mediterranean']
381	1170	None	None
384	1184	None	None
390	1209	$$ - $$$	['Mediterranean']
394	1217	$$ - $$$	['Italian']
396	1220	None	None
397	1235	None	['Italian']
398	1241	None	None
403	1252	$$ - $$$	['Outdoor Seating, Seating, Serves Alcohol, Table Service']
405	1262	None	['Deli']
408	1269	$$ - $$$	['Cafe, French']
413	1284	$$ - $$$	['American, Italian, French, International, Healthy']
417	1297	$	['Italian']
418	1300	None	None
423	1314	None	None
424	1316	None	None
427	1323	None	None
431	1335	None	['European, Portuguese']
435	1345	None	None
438	1355	None	None
440	1357	None	None
442	1359	None	['Pub']
444	1375	None	None
448	1392	None	['Chinese']
449	1397	None	None
456	1425	$$$$	['French, Seafood, European']
458	1435	$	['Spanish, Pizza']
459	1439	$$$$	['Chinese']
466	1459	None	['Brew Pub, Cafe, Wine Bar']
467	1462	None	None
468	1465	None	['British']
469	1475	None	['Seafood, Mediterranean, European, Spanish']
470	1484	None	['German']
472	1486	None	['German']
473	1489	None	None
475	1497	None	None
476	1499	None	None
477	1500	None	None
479	1504	None	None
481	1510	None	None
486	1520	$$ - $$$	['Italian, Mediterranean']
487	1523	None	None
492	1538	$	['Dinner']
494	1550	None	None
496	1562	None	['Bar, Pub']
497	1563	None	['Pizza, Seafood']
499	1565	$	['Greek, Mediterranean, Barbecue']
503	1572	$$ - $$$	['Spanish']
505	1577	$$ - $$$	['Italian']
512	1599	$$ - $$$	['French, Bar, European']
517	1611	None	['South American, Ecuadorean']
519	1621	$	['Moroccan, Mediterranean']
524	1639	None	['International']
525	1640	None	['Chinese']
526	1645	$$ - $$$	['Dinner']
529	1657	None	['American, Fast Food, International, European, Hungarian']
533	1661	None	None
536	1665	None	None
537	1666	None	None
539	1672	None	['Diner']
540	1676	None	None
543	1685	None	None
548	1693	$	['Portuguese, European']
553	1703	None	['Bar, Grill, Pub, Cafe, Central European']
557	1711	None	['Italian']
559	1715	$	['Spanish']
561	1719	None	['Italian']
565	1723	$	['Italian, Mediterranean, Romana, Lazio, Central-Italian']
576	1755	None	None
583	1781	None	None
590	1796	$	['Italian, Pizza']
594	1804	$$ - $$$	['Asian, Chinese']
595	1809	None	['European, Czech']
597	1814	$	['Italian']
602	1820	None	['Chinese, Asian, Thai']
604	1825	None	None
605	1828	$	['International']
609	1837	None	None
611	1842	None	None
613	1846	$	['Reservations']
614	1848	$$ - $$$	['Spanish, Bar, Mediterranean, Pub']
616	1853	None	['Lebanese, Mediterranean']
623	1876	None	None
626	1883	None	['Japanese, Sushi, Asian']
630	1894	None	['Bar, Pub']
631	1895	$	['Spanish']
634	1901	$$ - $$$	['Seating, Wheelchair Accessible, Table Service, Serves Alcohol']
636	1904	$$ - $$$	['American']
638	1912	None	None
642	1931	None	None
643	1933	None	None
646	1940	None	None
653	1963	None	['European, Czech']
655	1967	$	['Japanese, Sushi, Asian, Chinese']
660	1980	$$ - $$$	['Lunch, Dinner']
662	1984	$$ - $$$	['Cafe, Armenian, American, Spanish, Fast Food, Eastern European']
665	1987	None	None
669	1995	None	None
673	2005	None	None
675	2010	None	None
676	2012	$$ - $$$	['Lunch, Dinner']
678	2017	$$ - $$$	['Pizza']
681	2033	None	None
684	2043	None	['European, Eastern European']
692	2060	$$ - $$$	['Cafe']
698	2077	$	['Cafe']
699	2078	None	['European, Portuguese']
705	2089	$$ - $$$	['Breakfast, Lunch, Dinner']
708	2103	None	None
710	2106	None	['Italian, Cafe, Pub, Gastropub']
714	2120	None	['Japanese, Sushi']
715	2124	$	['Gluten Free Options']
722	2145	None	['Spanish']
726	2156	None	None
728	2158	None	['Spanish, Mediterranean']
729	2163	None	['Vietnamese']
731	2165	$	['Barbecue']
732	2168	None	None
734	2179	None	None
736	2182	$$ - $$$	['French, Belgian, European']
737	2188	$$ - $$$	['Romana, Lazio, Central-Italian']
739	2195	None	None
742	2202	None	None
743	2204	$$ - $$$	['European, Central European, Hungarian']
749	2236	None	None
755	2254	$	['Turkish']
757	2260	None	None
760	2266	$$ - $$$	['German']
761	2269	$$ - $$$	['Swedish, Cafe, Deli']
762	2270	None	['Chinese']
765	2283	$$ - $$$	['Mediterranean, Greek, Bar, Pub']
767	2287	None	['Vietnamese']
770	2293	None	None
771	2296	$$$$	['Mediterranean, Spanish']
775	2305	None	['European, Czech']
776	2308	$$ - $$$	['Barbecue']
777	2309	None	['Italian']
780	2317	$$ - $$$	['Indian, Asian']
786	2347	None	None
789	2351	$	['Cafe']
790	2352	None	None
792	2364	$$ - $$$	['Italian, Pizza, European']
794	2372	$$ - $$$	['Asian, Thai']
795	2378	$$ - $$$	['Cafe']
796	2381	$	['Vegetarian Friendly, Vegan Options, Halal']
798	2386	None	None
801	2394	None	None
806	2407	None	['Italian']
807	2408	None	None
813	2425	$	['French, Contemporary']
822	2446	$	['Vietnamese']
827	2468	$	['Asian, Vietnamese']
830	2482	$	['Spanish']
831	2483	$$ - $$$	['Cafe, Scandinavian, Danish, European']
832	2489	$$ - $$$	['Pizza']
834	2494	$$ - $$$	['Lunch, Dinner, Breakfast']
835	2501	$	['Middle Eastern']
837	2506	$	['Lunch, Dinner']
839	2510	$	['Czech, European']
847	2542	None	['Sushi']
851	2553	None	None
852	2555	None	None
853	2558	$$ - $$$	['Italian']
867	2593	None	None
868	2596	$$ - $$$	['Swiss, French, Mediterranean, European']
869	2598	$$ - $$$	['French, Bar, Pub']
872	2602	$	['Lebanese, Mediterranean']
873	2603	None	None
874	2605	None	['Greek']
877	2613	$$ - $$$	['Chinese, Fast Food']
880	2621	None	None
884	2630	$$ - $$$	['Seating, Wheelchair Accessible, Serves Alcohol']
889	2646	$$ - $$$	['Italian, Pizza, Mediterranean']
890	2648	None	None
898	2663	None	['Cafe']
899	2664	$$ - $$$	['Japanese, Sushi, Asian']
906	2685	None	None
910	2696	None	None
913	2708	None	['European, Portuguese']
914	2710	None	['Bar, Grill, Pub']
916	2713	None	None
917	2714	None	None
924	2731	None	None
926	2742	None	['Mediterranean']
927	2743	None	['Contemporary']
929	2754	$$ - $$$	['Bar, British, European, Pub']
931	2760	None	['International']
935	2772	None	['Chinese, Vietnamese']
936	2774	None	['African']
939	2782	$$ - $$$	['Seafood']
941	2789	None	None
942	2794	None	None
951	2812	None	None
957	2836	$$ - $$$	['French']
958	2848	$	['Lunch, Dinner']
961	2858	None	None
966	2874	$$ - $$$	['Cafe']
969	2884	None	['Italian, Pizza']
972	2898	$$ - $$$	['Cafe']
973	2900	None	['Fast Food']
974	2901	$	['Italian, Fast Food, Spanish, Argentinean, South American']
981	2922	None	None
984	2933	None	None
989	2941	$$ - $$$	['Dinner']
992	2948	$	['German, International']
993	2949	None	None
996	2962	None	['Cafe']
998	2964	$$ - $$$	['Lebanese, Mediterranean']
999	2967	None	None
1002	2980	None	['French']
1007	3002	None	['Pizza']
1019	3036	None	['Grill']
1021	3038	None	None
1028	3054	None	['Fast Food']
1029	3062	None	None
1033	3078	None	None
1037	3106	None	None
1040	3126	None	['American, Fast Food']
1043	3141	$$ - $$$	['European']
1047	3148	None	['Irish']
1051	3165	None	None
1052	3170	None	None
1054	3174	$$ - $$$	['Reservations']
1056	3179	None	['Indian']
1057	3187	None	None
1059	3193	None	None
1072	3230	None	None
1074	3235	None	['Italian']
1076	3238	$	['Emilian, Northern-Italian, Italian, Fast Food']
1079	3246	None	['French']
1082	3259	None	None
1084	3263	None	None
1085	3269	None	None
1094	3295	$	['Italian, Cafe']
1095	3296	None	None
1097	3299	None	None
1104	3314	None	None
1106	3324	$	['German, European']
1111	3333	$	['Italian, Pizza']
1113	3343	$$ - $$$	['European, Czech']
1114	3354	None	['Chinese']
1115	3355	$	['Vegetarian Friendly, Vegan Options']
1117	3360	None	None
1123	3381	None	None
1127	3392	None	None
1129	3395	None	None
1131	3398	None	None
1133	3401	$$ - $$$	['Bar, Pub']
1139	3424	$	['Cafe, Pub, Gastropub']
1141	3426	None	['Bar, Fast Food, Pub, Portuguese']
1143	3429	None	None
1147	3443	$$ - $$$	['Drinks']
1148	3445	$$ - $$$	['Healthy']
1152	3456	$$ - $$$	['Italian']
1153	3457	None	['Chinese, Sushi, Thai']
1154	3460	$	['Spanish']
1158	3472	$	['Fast Food, Spanish']
1167	3503	None	None
1168	3504	None	['Sushi, Asian, Fast Food']
1169	3506	None	['Turkish']
1170	3508	$	['Chinese, Asian, Seafood']
1175	3529	$	['Asian, Thai']
1181	3547	$$ - $$$	['Scandinavian, Norwegian, Cafe, Seafood, European']
1184	3555	None	None
1189	3572	$	['French, Healthy, Soups']
1191	3574	None	['Japanese']
1194	3581	None	['European, Czech']
1198	3591	None	['Cafe']
1207	3617	$$ - $$$	['Italian, Pizza, Mediterranean']
1209	3620	$$ - $$$	['German, Cafe, European, Central European']
1210	3625	None	None
1213	3633	None	None
1216	3638	None	None
1217	3640	None	['Cafe']
1218	3641	None	None
1220	3647	$$ - $$$	['French']
1235	3670	None	None
1241	3686	None	['Bar, Pub']
1243	3694	None	['Seafood, Mediterranean']
1245	3710	$$ - $$$	['Lunch']
1247	3721	$$ - $$$	['German, Bar, Cafe, Pub']
1250	3726	$	['Reservations']
1252	3731	None	None
1258	3747	$$ - $$$	['Cafe']
1262	3759	None	['British']
1264	3762	None	None
1267	3776	None	None
1269	3783	None	['Cafe, French, Japanese Fusion']
1273	3809	None	None
1275	3812	None	['Italian']
1281	3831	$	['Turkish, Mediterranean, Middle Eastern']
1282	3838	$$ - $$$	['Spanish, Fast Food']
1284	3845	None	['Dutch, European']
1291	3865	None	['Spanish']
1293	3877	$$ - $$$	['Vegetarian Friendly']
1294	3878	None	None
1297	3886	$$ - $$$	['Drinks']
1300	3893	None	None
1301	3894	$$ - $$$	['Spanish']
1302	3896	$$ - $$$	['Chinese, Japanese, Sushi, Asian']
1304	3899	$	['German, Diner']
1310	3911	None	None
1314	3927	None	None
1316	3937	None	None
1321	3956	$	['Asian, Vietnamese']
1322	3957	$	['Cafe']
1323	3958	$	['Italian, Bar, Pub']
1324	3960	None	['Asian, Thai']
1331	3980	$$ - $$$	['Cafe']
1333	3982	None	None
1335	3991	$	['Spanish']
1336	3994	$	['Italian']
1339	4007	$	['Breakfast, Lunch']
1341	4010	None	['European, Czech']
1345	4024	None	None
1346	4025	None	None
1349	4036	$$ - $$$	['Middle Eastern, Fusion']
1355	4058	$	['Spanish']
1356	4060	None	None
1357	4063	None	['Grill']
1358	4065	$	['French']
1359	4067	None	None
1372	4097	None	['European, Portuguese']
1375	4105	None	['Italian']
1377	4111	None	None
1379	4115	None	['European']
1391	4154	None	['Grill']
1392	4158	$$ - $$$	['Lunch, Dinner']
1397	4178	None	['European, Portuguese']
1398	4179	$$ - $$$	['Reservations, Wheelchair Accessible']
1407	4204	None	None
1413	4219	$	['Lunch']
1416	4232	$	['Cafe, French, Fast Food, Street Food']
1418	4234	None	['French, Mediterranean, European']
1421	4237	None	None
1425	4244	$$ - $$$	['European, Czech, Eastern European, Central European']
1427	4252	None	None
